"country_id","bank_code","swift","bank_name"
"ES",3575,"INSGESMMXXX","INVERSEGUROS, SOCIEDAD DE VALORES, S.A."
"ES",3604,"CAPIESMMXXX","CM CAPITAL MARKETS BOLSA, SOCIEDAD DE VALORES, S.A."
"ES",3641,"LISEESMMXXX","LINK SECURITIES, SOCIEDAD DE VALORES, S.A."
"ES",3656,"CSSOES2SFIN","FINANDUERO, SOCIEDAD DE VALORES, S.A."
"ES",3661,"MLCEESMMXXX","MERRILL LYNCH CAPITAL MARKETS ESPAÑA, S.A., SOCIEDAD DE VALO"
"ES",3669,"IVALESMMXXX","INTERMONEY VALORES, SOCIEDAD DE VALORES, S.A."
"ES",3682,"GVCBESBBETB","GVC GAESCO VALORES, SOCIEDAD DE VALORES, S.A."
"ES",6814,"MNTYESMMXXX","MONTY GLOBAL PAYMENTS, S.A."
"ES",6852,"BMEUESM1XXX","BMCE EUROSERVICES, S.A."
"ES",8233,"CSFAESM1XXX","CELERIS SERVICIOS FINANCIEROS, S.A., E.F.C."
"ES",8512,"UCINESMMXXX","UNION DE CREDITOS INMOBILIARIOS, S.A., E.F.C."
"ES",8835,"SBFCESMMXXX","SANTANDER BRASIL, E.F.C., S.A."
"ES",9000,"ESPBESMMXXX","BANCO DE ESPAÑA"
"ES",9091,"XBCNESBBXXX","SOCIEDAD RECTORA BOLSA VALORES DE BARCELONA, S.A., S.R.B.V."
"ES",9092,"XRBVES2BXXX","SOCIEDAD RECTORA BOLSA DE VALORES DE BILBAO, S.A., S.R.B.V."
"ES",9093,"XRVVESVVXXX","SOCIEDAD RECTORA BOLSA VALORES DE VALENCIA, S.A., S.R.B.V."
"ES",9094,"MEFFESBBXXX","MEFF SOCIEDAD RECTORA DE PRODUCTOS DERIVADOS S.A.U."
"ES",9096,"IBRCESMMXXX","SOCIEDAD DE GESTION DE LOS SISTEMAS DE REGISTRO, COMPENSACIO"
